customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,complaints_last_3m,outages_last_3m,avg_download_mbps,late_payments_last_6m,promo_active,discount_pct,churn
C0000001,Male,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,111.37,5814.37,0,1,209.6,0,Yes,24.0,0
C0000002,Female,0,No,Yes,49,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,33.94,1674.85,0,3,41.2,2,No,0.0,0
C0000003,Male,0,No,Yes,61,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.19,6167.86,2,0,173.4,0,No,0.0,0
C0000004,Male,0,Yes,No,6,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic check,77.53,444.59,1,0,34.8,2,No,0.0,0
C0000005,Female,0,No,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,67.96,1541.46,0,1,222.3,0,No,0.0,0
C0000006,Male,0,No,Yes,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,30.88,1113.83,0,0,0.0,2,Yes,13.6,1
C0000007,Male,0,No,Yes,46,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),71.34,3267.37,0,0,29.2,1,Yes,5.3,0
C0000008,Male,1,Yes,No,34,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),30.26,1038.6,0,0,39.6,0,Yes,7.8,0
C0000009,Female,0,Yes,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,66.81,541.69,1,0,16.6,0,No,0.0,0
C0000010,Female,1,No,No,38,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.82,3582.6,1,0,208.9,0,Yes,14.4,0
C0000011,Female,0,Yes,Yes,18,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),94.57,1662.45,0,0,220.9,0,Yes,2.2,1
C0000012,Male,0,No,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,78.72,596.08,1,0,243.0,0,No,0.0,1
C0000013,Male,0,Yes,No,6,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),73.89,429.46,0,0,105.3,0,No,0.0,0
C0000014,Male,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.51,518.25,0,0,0.0,0,No,0.0,0
C0000015,Female,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,27.36,551.87,0,0,0.0,0,No,0.0,0
C0000016,Female,0,No,No,8,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),59.55,464.59,0,0,49.7,0,No,0.0,0
C0000017,Male,0,Yes,Yes,61,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),97.81,6002.64,1,0,69.5,0,Yes,11.5,0
C0000018,Female,0,Yes,No,1,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),80.91,58.69,0,0,237.7,0,No,0.0,0
C0000019,Male,0,Yes,No,9,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),91.11,786.27,0,1,126.8,0,No,0.0,0
